Class,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,,,
Class 2,12.93 - 13.88,< 2.427,< 1.983,< 15.45,< 85.333,≥ 2.913,2.236 - 3.184,0.218 - 0.307,1.995 - 2.788,4.21 - 7.14,1.095 - 1.3,≥ 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.307 - 0.395,1.202 - 1.995,< 4.21,0.685 - 0.89,2.18 - 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,1.288 - 2.236,0.395 - 0.483,1.202 - 1.995,< 4.21,1.3 - 1.505,2.18 - 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,< 1.983,< 15.45,131.333 - 146.667,< 1.947,1.288 - 2.236,0.307 - 0.395,1.995 - 2.788,< 4.21,0.89 - 1.095,2.18 - 3.09,745.333 - 1212.667
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,0.89 - 1.095,≥ 3.09,745.333 - 1212.667
Class 1,12.93 - 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,745.333 - 1212.667
Class 1,12.93 - 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,100.667 - 116,1.947 - 2.913,2.236 - 3.184,0.395 - 0.483,1.202 - 1.995,< 4.21,1.095 - 1.3,2.18 - 3.09,745.333 - 1212.667
Class 1,12.93 - 13.88,< 2.427,≥ 2.607,15.45 - 20.3,100.667 - 116,≥ 2.913,2.236 - 3.184,0.307 - 0.395,1.202 - 1.995,4.21 - 7.14,1.095 - 1.3,≥ 3.09,745.333 - 1212.667
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,116 - 131.333,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.995 - 2.788,4.21 - 7.14,0.89 - 1.095,≥ 3.09,745.333 - 1212.667
Class 2,11.98 - 12.93,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,1.288 - 2.236,≥ 0.572,1.202 - 1.995,< 4.21,0.685 - 0.89,≥ 3.09,< 745.333
Class 2,12.93 - 13.88,≥ 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.995 - 2.788,< 4.21,0.685 - 0.89,≥ 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,< 85.333,1.947 - 2.913,2.236 - 3.184,0.395 - 0.483,< 1.202,< 4.21,0.89 - 1.095,≥ 3.09,< 745.333
Class 2,< 11.98,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,1.288 - 2.236,0.218 - 0.307,1.995 - 2.788,< 4.21,0.685 - 0.89,2.18 - 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,< 1.983,< 15.45,85.333 - 100.667,1.947 - 2.913,< 1.288,0.218 - 0.307,< 1.202,< 4.21,0.89 - 1.095,< 2.18,< 745.333
Class 3,12.93 - 13.88,2.427 - 4.113,1.983 - 2.607,15.45 - 20.3,116 - 131.333,< 1.947,< 1.288,0.483 - 0.572,1.202 - 1.995,7.14 - 10.07,< 0.685,< 2.18,745.333 - 1212.667
Class 3,12.93 - 13.88,≥ 4.113,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,< 1.288,0.395 - 0.483,< 1.202,4.21 - 7.14,0.89 - 1.095,< 2.18,< 745.333
Class 3,12.93 - 13.88,≥ 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,0.483 - 0.572,< 1.202,4.21 - 7.14,0.685 - 0.89,< 2.18,< 745.333
Class 2,11.98 - 12.93,≥ 4.113,≥ 2.607,≥ 25.15,100.667 - 116,1.947 - 2.913,1.288 - 2.236,0.395 - 0.483,1.202 - 1.995,< 4.21,0.89 - 1.095,≥ 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,1.288 - 2.236,0.218 - 0.307,1.202 - 1.995,< 4.21,1.095 - 1.3,≥ 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,< 1.983,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,1.288 - 2.236,0.218 - 0.307,1.202 - 1.995,< 4.21,1.095 - 1.3,2.18 - 3.09,< 745.333
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,≥ 1212.667
Class 1,12.93 - 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,100.667 - 116,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,< 4.21,1.095 - 1.3,≥ 3.09,745.333 - 1212.667
Class 3,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,0.218 - 0.307,< 1.202,4.21 - 7.14,< 0.685,< 2.18,< 745.333
Class 3,11.98 - 12.93,< 2.427,1.983 - 2.607,15.45 - 20.3,116 - 131.333,< 1.947,< 1.288,< 0.218,< 1.202,< 4.21,0.685 - 0.89,< 2.18,< 745.333
Class 1,≥ 13.88,2.427 - 4.113,1.983 - 2.607,15.45 - 20.3,100.667 - 116,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,0.685 - 0.89,≥ 3.09,745.333 - 1212.667
Class 2,< 11.98,2.427 - 4.113,≥ 2.607,15.45 - 20.3,100.667 - 116,< 1.947,1.288 - 2.236,≥ 0.572,< 1.202,< 4.21,1.095 - 1.3,2.18 - 3.09,< 745.333
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,< 15.45,85.333 - 100.667,≥ 2.913,3.184 - 4.132,0.395 - 0.483,≥ 2.788,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,745.333 - 1212.667
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,< 15.45,100.667 - 116,≥ 2.913,3.184 - 4.132,0.307 - 0.395,1.202 - 1.995,4.21 - 7.14,0.89 - 1.095,2.18 - 3.09,≥ 1212.667
Class 3,11.98 - 12.93,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,100.667 - 116,< 1.947,1.288 - 2.236,0.218 - 0.307,1.202 - 1.995,≥ 10.07,< 0.685,< 2.18,< 745.333
Class 2,11.98 - 12.93,< 2.427,< 1.983,20.3 - 25.15,< 85.333,1.947 - 2.913,1.288 - 2.236,0.307 - 0.395,1.202 - 1.995,< 4.21,0.89 - 1.095,≥ 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,≥ 2.913,3.184 - 4.132,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,0.89 - 1.095,2.18 - 3.09,< 745.333
Class 3,12.93 - 13.88,≥ 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,0.483 - 0.572,< 1.202,7.14 - 10.07,< 0.685,< 2.18,< 745.333
Class 3,11.98 - 12.93,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,100.667 - 116,< 1.947,< 1.288,< 0.218,< 1.202,4.21 - 7.14,0.685 - 0.89,< 2.18,< 745.333
Class 2,11.98 - 12.93,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,< 4.21,0.89 - 1.095,2.18 - 3.09,< 745.333
Class 3,≥ 13.88,≥ 4.113,1.983 - 2.607,15.45 - 20.3,< 85.333,< 1.947,< 1.288,0.395 - 0.483,< 1.202,4.21 - 7.14,< 0.685,< 2.18,< 745.333
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,< 15.45,100.667 - 116,≥ 2.913,3.184 - 4.132,0.218 - 0.307,≥ 2.788,7.14 - 10.07,1.095 - 1.3,2.18 - 3.09,≥ 1212.667
Class 3,12.93 - 13.88,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,100.667 - 116,< 1.947,1.288 - 2.236,0.307 - 0.395,< 1.202,7.14 - 10.07,< 0.685,< 2.18,< 745.333
Class 1,12.93 - 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,≥ 1212.667
Class 1,12.93 - 13.88,2.427 - 4.113,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,4.21 - 7.14,0.89 - 1.095,2.18 - 3.09,745.333 - 1212.667
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,< 85.333,< 1.947,1.288 - 2.236,0.395 - 0.483,1.202 - 1.995,< 4.21,0.685 - 0.89,2.18 - 3.09,< 745.333
Class 1,12.93 - 13.88,< 2.427,≥ 2.607,20.3 - 25.15,116 - 131.333,1.947 - 2.913,2.236 - 3.184,0.395 - 0.483,1.202 - 1.995,< 4.21,1.095 - 1.3,≥ 3.09,745.333 - 1212.667
Class 1,≥ 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,100.667 - 116,≥ 2.913,3.184 - 4.132,0.218 - 0.307,1.995 - 2.788,7.14 - 10.07,0.685 - 0.89,≥ 3.09,≥ 1212.667
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,< 85.333,< 1.947,1.288 - 2.236,≥ 0.572,1.202 - 1.995,< 4.21,0.89 - 1.095,< 2.18,< 745.333
Class 2,12.93 - 13.88,2.427 - 4.113,1.983 - 2.607,20.3 - 25.15,< 85.333,< 1.947,1.288 - 2.236,≥ 0.572,1.202 - 1.995,4.21 - 7.14,0.685 - 0.89,< 2.18,< 745.333
Class 2,11.98 - 12.93,2.427 - 4.113,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.395 - 0.483,≥ 2.788,< 4.21,1.3 - 1.505,2.18 - 3.09,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,≥ 2.913,2.236 - 3.184,< 0.218,1.202 - 1.995,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,< 745.333
Class 1,12.93 - 13.88,< 2.427,1.983 - 2.607,15.45 - 20.3,85.333 - 100.667,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.995 - 2.788,4.21 - 7.14,1.095 - 1.3,≥ 3.09,≥ 1212.667
Class 3,12.93 - 13.88,≥ 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,≥ 0.572,1.202 - 1.995,7.14 - 10.07,< 0.685,< 2.18,< 745.333
Class 2,11.98 - 12.93,< 2.427,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,0.483 - 0.572,1.202 - 1.995,< 4.21,0.89 - 1.095,2.18 - 3.09,< 745.333
Class 1,12.93 - 13.88,< 2.427,≥ 2.607,20.3 - 25.15,100.667 - 116,≥ 2.913,3.184 - 4.132,0.218 - 0.307,1.995 - 2.788,4.21 - 7.14,1.095 - 1.3,2.18 - 3.09,≥ 1212.667
Class 3,11.98 - 12.93,2.427 - 4.113,≥ 2.607,20.3 - 25.15,100.667 - 116,1.947 - 2.913,< 1.288,0.483 - 0.572,< 1.202,4.21 - 7.14,0.89 - 1.095,< 2.18,< 745.333
Class 1,12.93 - 13.88,< 2.427,≥ 2.607,15.45 - 20.3,100.667 - 116,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,7.14 - 10.07,1.095 - 1.3,2.18 - 3.09,≥ 1212.667
Class 3,11.98 - 12.93,< 2.427,1.983 - 2.607,15.45 - 20.3,< 85.333,1.947 - 2.913,< 1.288,≥ 0.572,1.202 - 1.995,4.21 - 7.14,0.685 - 0.89,< 2.18,< 745.333
Class 3,11.98 - 12.93,≥ 4.113,1.983 - 2.607,20.3 - 25.15,85.333 - 100.667,< 1.947,< 1.288,0.395 - 0.483,< 1.202,7.14 - 10.07,< 0.685,< 2.18,< 745.333
Class 1,12.93 - 13.88,< 2.427,≥ 2.607,15.45 - 20.3,100.667 - 116,1.947 - 2.913,2.236 - 3.184,0.218 - 0.307,1.202 - 1.995,< 4.21,1.095 - 1.3,2.18 - 3.09,745.333 - 1212.667
